"dataset","method","case_id","service","fault","repeat_no","n_train","n_cal","n_ab","alarm_fraction","detected","auc"
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_2","currencyservice","disk","2",180,120,300,0,FALSE,0.914
"RE1-OB","PCA","RE1-OB_currencyservice_disk_3","currencyservice","disk","3",180,120,300,0.85,TRUE,0.982
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_3","currencyservice","disk","3",180,120,300,0.923,TRUE,0.981
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_3","currencyservice","disk","3",180,120,300,0,FALSE,0.935
"RE1-OB","PCA","RE1-OB_currencyservice_disk_4","currencyservice","disk","4",180,120,300,0.87,TRUE,0.965
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_4","currencyservice","disk","4",180,120,300,0.237,TRUE,0.907
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_4","currencyservice","disk","4",180,120,300,0,FALSE,0.898
"RE1-OB","PCA","RE1-OB_currencyservice_disk_5","currencyservice","disk","5",180,120,300,0.957,TRUE,0.996
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_5","currencyservice","disk","5",180,120,300,0.273,TRUE,0.903
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_5","currencyservice","disk","5",180,120,300,0.95,TRUE,0.99
"RE1-OB","PCA","RE1-OB_currencyservice_mem_1","currencyservice","mem","1",180,120,300,0.977,TRUE,0.989
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_1","currencyservice","mem","1",180,120,300,0.94,TRUE,0.99
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_1","currencyservice","mem","1",180,120,300,0.977,TRUE,0.992
"RE1-OB","PCA","RE1-OB_currencyservice_mem_2","currencyservice","mem","2",180,120,300,0.417,TRUE,0.743
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_2","currencyservice","mem","2",180,120,300,0.98,TRUE,0.997
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_2","currencyservice","mem","2",180,120,300,0,FALSE,0.59
"RE1-OB","PCA","RE1-OB_currencyservice_mem_3","currencyservice","mem","3",180,120,300,0.903,TRUE,0.97
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_3","currencyservice","mem","3",180,120,300,0.98,TRUE,0.998
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_3","currencyservice","mem","3",180,120,300,0,FALSE,0.871
"RE1-OB","PCA","RE1-OB_currencyservice_mem_4","currencyservice","mem","4",180,120,300,0.967,TRUE,0.993
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_4","currencyservice","mem","4",180,120,300,0.39,TRUE,0.98
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_4","currencyservice","mem","4",180,120,300,0,FALSE,0.925
"RE1-OB","PCA","RE1-OB_currencyservice_mem_5","currencyservice","mem","5",180,120,300,1,TRUE,1
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_5","currencyservice","mem","5",180,120,300,0.553,TRUE,0.929
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_5","currencyservice","mem","5",180,120,300,0.99,TRUE,0.999
"RE1-OB","PCA","RE1-OB_productcatalogservice_cpu_1","productcatalogservice","cpu","1",180,120,300,0.973,TRUE,0.995
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_cpu_1","productcatalogservice","cpu","1",180,120,300,0.003,FALSE,0.325
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_cpu_1","productcatalogservice","cpu","1",180,120,300,0.973,TRUE,0.991
"RE1-OB","PCA","RE1-OB_productcatalogservice_cpu_2","productcatalogservice","cpu","2",180,120,300,0,FALSE,0.511
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_cpu_2","productcatalogservice","cpu","2",180,120,300,0.01,FALSE,0.67
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_cpu_2","productcatalogservice","cpu","2",180,120,300,0,FALSE,0.742
"RE1-OB","PCA","RE1-OB_productcatalogservice_cpu_3","productcatalogservice","cpu","3",180,120,300,0.89,TRUE,0.987
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_cpu_3","productcatalogservice","cpu","3",180,120,300,0.007,FALSE,0.683
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_cpu_3","productcatalogservice","cpu","3",180,120,300,0,FALSE,0.975
"RE1-OB","PCA","RE1-OB_productcatalogservice_cpu_4","productcatalogservice","cpu","4",180,120,300,0,FALSE,0.487
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_cpu_4","productcatalogservice","cpu","4",180,120,300,0.013,FALSE,0.681
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_cpu_4","productcatalogservice","cpu","4",180,120,300,0,FALSE,0.717
"RE1-OB","PCA","RE1-OB_productcatalogservice_cpu_5","productcatalogservice","cpu","5",180,120,300,0.973,TRUE,0.999
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_cpu_5","productcatalogservice","cpu","5",180,120,300,0.227,TRUE,0.942
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_cpu_5","productcatalogservice","cpu","5",180,120,300,0.973,TRUE,0.981
"RE1-OB","PCA","RE1-OB_productcatalogservice_delay_1","productcatalogservice","delay","1",180,120,300,0.203,TRUE,0.873
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_delay_1","productcatalogservice","delay","1",180,120,300,0.95,TRUE,0.993
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_delay_1","productcatalogservice","delay","1",180,120,300,0,FALSE,0.916
"RE1-OB","PCA","RE1-OB_productcatalogservice_delay_2","productcatalogservice","delay","2",180,120,300,0,FALSE,0.908
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_delay_2","productcatalogservice","delay","2",180,120,300,0.88,TRUE,0.969
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_delay_2","productcatalogservice","delay","2",180,120,300,0,FALSE,0.952
"RE1-OB","PCA","RE1-OB_productcatalogservice_delay_3","productcatalogservice","delay","3",180,120,300,0.977,TRUE,0.999
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_delay_3","productcatalogservice","delay","3",180,120,300,0.943,TRUE,0.993
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_delay_3","productcatalogservice","delay","3",180,120,300,0.96,TRUE,0.999
"RE1-OB","PCA","RE1-OB_productcatalogservice_delay_4","productcatalogservice","delay","4",180,120,300,0.97,TRUE,0.982
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_delay_4","productcatalogservice","delay","4",180,120,300,0.913,TRUE,0.986
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_delay_4","productcatalogservice","delay","4",180,120,300,0,FALSE,0.852
"RE1-OB","PCA","RE1-OB_productcatalogservice_delay_5","productcatalogservice","delay","5",180,120,300,0.967,TRUE,0.993
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_delay_5","productcatalogservice","delay","5",180,120,300,0.883,TRUE,0.966
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_delay_5","productcatalogservice","delay","5",180,120,300,0.967,TRUE,0.99
"RE1-OB","PCA","RE1-OB_productcatalogservice_disk_1","productcatalogservice","disk","1",180,120,300,0.94,TRUE,0.967
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_disk_1","productcatalogservice","disk","1",180,120,300,0.573,TRUE,0.895
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_disk_1","productcatalogservice","disk","1",180,120,300,0,FALSE,0.928
"RE1-OB","PCA","RE1-OB_productcatalogservice_disk_2","productcatalogservice","disk","2",180,120,300,0.953,TRUE,0.973
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_disk_2","productcatalogservice","disk","2",180,120,300,0.717,TRUE,0.965
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_disk_2","productcatalogservice","disk","2",180,120,300,0.94,TRUE,0.975
"RE1-OB","PCA","RE1-OB_productcatalogservice_disk_3","productcatalogservice","disk","3",180,120,300,0.927,TRUE,0.985
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_disk_3","productcatalogservice","disk","3",180,120,300,0.573,TRUE,0.929
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_disk_3","productcatalogservice","disk","3",180,120,300,0,FALSE,0.914
"RE1-OB","PCA","RE1-OB_productcatalogservice_disk_4","productcatalogservice","disk","4",180,120,300,0.977,TRUE,0.983
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_disk_4","productcatalogservice","disk","4",180,120,300,0.32,TRUE,0.949
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_disk_4","productcatalogservice","disk","4",180,120,300,0.977,TRUE,0.983
"RE1-OB","PCA","RE1-OB_productcatalogservice_disk_5","productcatalogservice","disk","5",180,120,300,0.947,TRUE,0.979
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_disk_5","productcatalogservice","disk","5",180,120,300,0.93,TRUE,0.979
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_disk_5","productcatalogservice","disk","5",180,120,300,0.963,TRUE,0.984
"RE1-OB","PCA","RE1-OB_productcatalogservice_mem_1","productcatalogservice","mem","1",180,120,300,0.557,TRUE,0.813
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_mem_1","productcatalogservice","mem","1",180,120,300,0.987,TRUE,0.999
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_mem_1","productcatalogservice","mem","1",180,120,300,0,FALSE,0.583
"RE1-OB","PCA","RE1-OB_productcatalogservice_mem_2","productcatalogservice","mem","2",180,120,300,0.973,TRUE,0.997
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_mem_2","productcatalogservice","mem","2",180,120,300,0.913,TRUE,0.993
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_mem_2","productcatalogservice","mem","2",180,120,300,0,FALSE,0.725
"RE1-OB","PCA","RE1-OB_productcatalogservice_mem_3","productcatalogservice","mem","3",180,120,300,0.98,TRUE,0.989
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_mem_3","productcatalogservice","mem","3",180,120,300,0.943,TRUE,0.975
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_mem_3","productcatalogservice","mem","3",180,120,300,0.98,TRUE,0.985
"RE1-OB","PCA","RE1-OB_productcatalogservice_mem_4","productcatalogservice","mem","4",180,120,300,0.963,TRUE,0.994
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_mem_4","productcatalogservice","mem","4",180,120,300,0.947,TRUE,0.986
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_mem_4","productcatalogservice","mem","4",180,120,300,0.963,TRUE,0.993
"RE1-OB","PCA","RE1-OB_productcatalogservice_mem_5","productcatalogservice","mem","5",180,120,300,0.957,TRUE,0.985
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_mem_5","productcatalogservice","mem","5",180,120,300,0.107,TRUE,0.589
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_mem_5","productcatalogservice","mem","5",180,120,300,0.957,TRUE,0.985
"RE1-SS","PCA","RE1-SS_carts_cpu_1","carts","cpu","1",180,120,300,0.273,TRUE,0.972
"RE1-SS","Isolation Forest","RE1-SS_carts_cpu_1","carts","cpu","1",180,120,300,0.337,TRUE,0.913
"RE1-SS","OC-SVM","RE1-SS_carts_cpu_1","carts","cpu","1",180,120,300,0,FALSE,0.742
"RE1-SS","PCA","RE1-SS_carts_cpu_2","carts","cpu","2",180,120,300,0.61,TRUE,0.979
"RE1-SS","Isolation Forest","RE1-SS_carts_cpu_2","carts","cpu","2",180,120,300,0.01,FALSE,0.747
"RE1-SS","OC-SVM","RE1-SS_carts_cpu_2","carts","cpu","2",180,120,300,0,FALSE,0.671
"RE1-SS","PCA","RE1-SS_carts_cpu_3","carts","cpu","3",180,120,300,0.68,TRUE,0.839
"RE1-SS","Isolation Forest","RE1-SS_carts_cpu_3","carts","cpu","3",180,120,300,0.48,TRUE,0.945
"RE1-SS","OC-SVM","RE1-SS_carts_cpu_3","carts","cpu","3",180,120,300,0,FALSE,0.667
"RE1-SS","PCA","RE1-SS_carts_cpu_4","carts","cpu","4",180,120,300,0.843,TRUE,0.987
"RE1-SS","Isolation Forest","RE1-SS_carts_cpu_4","carts","cpu","4",180,120,300,0.083,FALSE,0.856
"RE1-SS","OC-SVM","RE1-SS_carts_cpu_4","carts","cpu","4",180,120,300,0,FALSE,0.758
"RE1-SS","PCA","RE1-SS_carts_cpu_5","carts","cpu","5",180,120,300,0,FALSE,0.858
"RE1-SS","Isolation Forest","RE1-SS_carts_cpu_5","carts","cpu","5",180,120,300,0.383,TRUE,0.944
"RE1-SS","OC-SVM","RE1-SS_carts_cpu_5","carts","cpu","5",180,120,300,0,FALSE,0.925
"RE1-SS","PCA","RE1-SS_carts_delay_1","carts","delay","1",180,120,300,0.96,TRUE,0.977
"RE1-SS","Isolation Forest","RE1-SS_carts_delay_1","carts","delay","1",180,120,300,0.947,TRUE,0.991
"RE1-SS","OC-SVM","RE1-SS_carts_delay_1","carts","delay","1",180,120,300,0,FALSE,0.744
"RE1-SS","PCA","RE1-SS_carts_delay_2","carts","delay","2",180,120,300,0.957,TRUE,0.983
"RE1-SS","Isolation Forest","RE1-SS_carts_delay_2","carts","delay","2",180,120,300,0.917,TRUE,0.987
"RE1-SS","OC-SVM","RE1-SS_carts_delay_2","carts","delay","2",180,120,300,0,FALSE,0.596
"RE1-SS","PCA","RE1-SS_carts_delay_3","carts","delay","3",180,120,300,0.983,TRUE,0.996
"RE1-SS","Isolation Forest","RE1-SS_carts_delay_3","carts","delay","3",180,120,300,0.933,TRUE,0.987
"RE1-SS","OC-SVM","RE1-SS_carts_delay_3","carts","delay","3",180,120,300,0.983,TRUE,0.997
"RE1-SS","PCA","RE1-SS_carts_delay_4","carts","delay","4",180,120,300,0.953,TRUE,0.984
"RE1-SS","Isolation Forest","RE1-SS_carts_delay_4","carts","delay","4",180,120,300,0.927,TRUE,0.976
"RE1-SS","OC-SVM","RE1-SS_carts_delay_4","carts","delay","4",180,120,300,0,FALSE,0.6
"RE1-SS","PCA","RE1-SS_carts_delay_5","carts","delay","5",180,120,300,0.973,TRUE,0.983
"RE1-SS","Isolation Forest","RE1-SS_carts_delay_5","carts","delay","5",180,120,300,0.913,TRUE,0.988
"RE1-SS","OC-SVM","RE1-SS_carts_delay_5","carts","delay","5",180,120,300,0,FALSE,0.5
"RE1-SS","PCA","RE1-SS_carts_disk_1","carts","disk","1",180,120,300,0.993,TRUE,1
"RE1-SS","Isolation Forest","RE1-SS_carts_disk_1","carts","disk","1",180,120,300,0.877,TRUE,0.975
"RE1-SS","OC-SVM","RE1-SS_carts_disk_1","carts","disk","1",180,120,300,0,FALSE,0.533
"RE1-SS","PCA","RE1-SS_carts_disk_2","carts","disk","2",180,120,300,0.993,TRUE,0.997
"RE1-SS","Isolation Forest","RE1-SS_carts_disk_2","carts","disk","2",180,120,300,0.26,TRUE,0.883
"RE1-SS","OC-SVM","RE1-SS_carts_disk_2","carts","disk","2",180,120,300,0.993,TRUE,0.997
"RE1-SS","PCA","RE1-SS_carts_disk_3","carts","disk","3",180,120,300,0.923,TRUE,0.98
"RE1-SS","Isolation Forest","RE1-SS_carts_disk_3","carts","disk","3",180,120,300,0.467,TRUE,0.937
"RE1-SS","OC-SVM","RE1-SS_carts_disk_3","carts","disk","3",180,120,300,0,FALSE,0.717
"RE1-SS","PCA","RE1-SS_carts_disk_4","carts","disk","4",180,120,300,0.247,TRUE,0.525
"RE1-SS","Isolation Forest","RE1-SS_carts_disk_4","carts","disk","4",180,120,300,0.12,TRUE,0.814
"RE1-SS","OC-SVM","RE1-SS_carts_disk_4","carts","disk","4",180,120,300,0,FALSE,0.504
"RE1-SS","PCA","RE1-SS_carts_disk_5","carts","disk","5",180,120,300,0.973,TRUE,0.992
"RE1-SS","Isolation Forest","RE1-SS_carts_disk_5","carts","disk","5",180,120,300,0.197,TRUE,0.896
"RE1-SS","OC-SVM","RE1-SS_carts_disk_5","carts","disk","5",180,120,300,0,FALSE,0.832
"RE1-SS","PCA","RE1-SS_carts_mem_1","carts","mem","1",180,120,300,0.903,TRUE,0.982
"RE1-SS","Isolation Forest","RE1-SS_carts_mem_1","carts","mem","1",180,120,300,0.797,TRUE,0.948
"RE1-SS","OC-SVM","RE1-SS_carts_mem_1","carts","mem","1",180,120,300,0,FALSE,0.65
"RE1-SS","PCA","RE1-SS_carts_mem_2","carts","mem","2",180,120,300,0.95,TRUE,0.979
"RE1-SS","Isolation Forest","RE1-SS_carts_mem_2","carts","mem","2",180,120,300,0.65,TRUE,0.949
"RE1-SS","OC-SVM","RE1-SS_carts_mem_2","carts","mem","2",180,120,300,0,FALSE,0.625
"RE1-SS","PCA","RE1-SS_carts_mem_3","carts","mem","3",180,120,300,0.823,TRUE,0.936
"RE1-SS","Isolation Forest","RE1-SS_carts_mem_3","carts","mem","3",180,120,300,0.69,TRUE,0.966
"RE1-SS","OC-SVM","RE1-SS_carts_mem_3","carts","mem","3",180,120,300,0,FALSE,0.5
"RE1-SS","PCA","RE1-SS_carts_mem_4","carts","mem","4",180,120,300,0.547,TRUE,0.916
"RE1-SS","Isolation Forest","RE1-SS_carts_mem_4","carts","mem","4",180,120,300,0.96,TRUE,0.988
"RE1-SS","OC-SVM","RE1-SS_carts_mem_4","carts","mem","4",180,120,300,0,FALSE,0.712
"RE1-SS","PCA","RE1-SS_carts_mem_5","carts","mem","5",180,120,300,0,FALSE,0.305
"RE1-SS","Isolation Forest","RE1-SS_carts_mem_5","carts","mem","5",180,120,300,0.937,TRUE,0.986
"RE1-SS","OC-SVM","RE1-SS_carts_mem_5","carts","mem","5",180,120,300,0,FALSE,0.604
"RE1-SS","PCA","RE1-SS_catalogue_cpu_1","catalogue","cpu","1",180,120,300,0.99,TRUE,1
"RE1-SS","Isolation Forest","RE1-SS_catalogue_cpu_1","catalogue","cpu","1",180,120,300,0.097,FALSE,0.795
"RE1-SS","OC-SVM","RE1-SS_catalogue_cpu_1","catalogue","cpu","1",180,120,300,0,FALSE,0.683
"RE1-SS","PCA","RE1-SS_catalogue_cpu_2","catalogue","cpu","2",180,120,300,0.443,TRUE,0.945
"RE1-SS","Isolation Forest","RE1-SS_catalogue_cpu_2","catalogue","cpu","2",180,120,300,0.06,FALSE,0.629
"RE1-SS","OC-SVM","RE1-SS_catalogue_cpu_2","catalogue","cpu","2",180,120,300,0,FALSE,0.823
"RE1-SS","PCA","RE1-SS_catalogue_cpu_3","catalogue","cpu","3",180,120,300,0.993,TRUE,1
"RE1-SS","Isolation Forest","RE1-SS_catalogue_cpu_3","catalogue","cpu","3",180,120,300,0.023,FALSE,0.771
"RE1-SS","OC-SVM","RE1-SS_catalogue_cpu_3","catalogue","cpu","3",180,120,300,0,FALSE,0.575
"RE1-SS","PCA","RE1-SS_catalogue_cpu_4","catalogue","cpu","4",180,120,300,0.9,TRUE,0.991
"RE1-SS","Isolation Forest","RE1-SS_catalogue_cpu_4","catalogue","cpu","4",180,120,300,0.247,TRUE,0.832
"RE1-SS","OC-SVM","RE1-SS_catalogue_cpu_4","catalogue","cpu","4",180,120,300,0,FALSE,0.733
"RE1-SS","PCA","RE1-SS_catalogue_cpu_5","catalogue","cpu","5",180,120,300,0,FALSE,0.212
"RE1-SS","Isolation Forest","RE1-SS_catalogue_cpu_5","catalogue","cpu","5",180,120,300,0.307,TRUE,0.919
"RE1-SS","OC-SVM","RE1-SS_catalogue_cpu_5","catalogue","cpu","5",180,120,300,0,FALSE,0.596
"RE1-SS","PCA","RE1-SS_catalogue_delay_1","catalogue","delay","1",180,120,300,0.97,TRUE,0.995
"RE1-SS","Isolation Forest","RE1-SS_catalogue_delay_1","catalogue","delay","1",180,120,300,0.057,FALSE,0.765
"RE1-SS","OC-SVM","RE1-SS_catalogue_delay_1","catalogue","delay","1",180,120,300,0,FALSE,0.721
"RE1-SS","PCA","RE1-SS_catalogue_delay_2","catalogue","delay","2",180,120,300,0.987,TRUE,0.998
"RE1-SS","Isolation Forest","RE1-SS_catalogue_delay_2","catalogue","delay","2",180,120,300,0.057,FALSE,0.925
"RE1-SS","OC-SVM","RE1-SS_catalogue_delay_2","catalogue","delay","2",180,120,300,0,FALSE,0.933
"RE1-SS","PCA","RE1-SS_catalogue_delay_3","catalogue","delay","3",180,120,300,0.967,TRUE,0.992
"RE1-SS","Isolation Forest","RE1-SS_catalogue_delay_3","catalogue","delay","3",180,120,300,0.51,TRUE,0.938
"RE1-SS","OC-SVM","RE1-SS_catalogue_delay_3","catalogue","delay","3",180,120,300,0,FALSE,0.596
"RE1-SS","PCA","RE1-SS_catalogue_delay_4","catalogue","delay","4",180,120,300,0.977,TRUE,0.996
"RE1-SS","Isolation Forest","RE1-SS_catalogue_delay_4","catalogue","delay","4",180,120,300,0.49,TRUE,0.964
"RE1-SS","OC-SVM","RE1-SS_catalogue_delay_4","catalogue","delay","4",180,120,300,0,FALSE,0.562
"RE1-SS","PCA","RE1-SS_catalogue_delay_5","catalogue","delay","5",180,120,300,1,TRUE,1
"RE1-SS","Isolation Forest","RE1-SS_catalogue_delay_5","catalogue","delay","5",180,120,300,0.167,TRUE,0.909
"RE1-SS","OC-SVM","RE1-SS_catalogue_delay_5","catalogue","delay","5",180,120,300,0,FALSE,0.571
"RE1-SS","PCA","RE1-SS_catalogue_disk_1","catalogue","disk","1",180,120,300,0.993,TRUE,0.999
"RE1-SS","Isolation Forest","RE1-SS_catalogue_disk_1","catalogue","disk","1",180,120,300,0.623,TRUE,0.966
"RE1-SS","OC-SVM","RE1-SS_catalogue_disk_1","catalogue","disk","1",180,120,300,0,FALSE,0.5
"RE1-SS","PCA","RE1-SS_catalogue_disk_2","catalogue","disk","2",180,120,300,0.857,TRUE,0.983
"RE1-SS","Isolation Forest","RE1-SS_catalogue_disk_2","catalogue","disk","2",180,120,300,0.473,TRUE,0.92
"RE1-SS","OC-SVM","RE1-SS_catalogue_disk_2","catalogue","disk","2",180,120,300,0,FALSE,0.629
"RE1-SS","PCA","RE1-SS_catalogue_disk_3","catalogue","disk","3",180,120,287,0.714,TRUE,0.856
"RE1-SS","Isolation Forest","RE1-SS_catalogue_disk_3","catalogue","disk","3",180,120,287,0.404,TRUE,0.883
"RE1-SS","OC-SVM","RE1-SS_catalogue_disk_3","catalogue","disk","3",180,120,287,0,FALSE,0.579
"RE1-SS","PCA","RE1-SS_catalogue_disk_4","catalogue","disk","4",180,120,300,0.957,TRUE,0.998
"RE1-SS","Isolation Forest","RE1-SS_catalogue_disk_4","catalogue","disk","4",180,120,300,0.07,FALSE,0.579
"RE1-SS","OC-SVM","RE1-SS_catalogue_disk_4","catalogue","disk","4",180,120,300,0,FALSE,0.625
"RE1-SS","PCA","RE1-SS_catalogue_disk_5","catalogue","disk","5",180,120,300,0.97,TRUE,0.993
"RE1-SS","Isolation Forest","RE1-SS_catalogue_disk_5","catalogue","disk","5",180,120,300,0.227,TRUE,0.872
"RE1-SS","OC-SVM","RE1-SS_catalogue_disk_5","catalogue","disk","5",180,120,300,0,FALSE,0.808
"RE1-SS","PCA","RE1-SS_catalogue_mem_1","catalogue","mem","1",180,120,300,0.4,TRUE,0.7
"RE1-SS","Isolation Forest","RE1-SS_catalogue_mem_1","catalogue","mem","1",180,120,300,0.703,TRUE,0.982
"RE1-SS","OC-SVM","RE1-SS_catalogue_mem_1","catalogue","mem","1",180,120,300,0,FALSE,0.712
"RE1-SS","PCA","RE1-SS_catalogue_mem_2","catalogue","mem","2",180,120,300,0.987,TRUE,1
"RE1-SS","Isolation Forest","RE1-SS_catalogue_mem_2","catalogue","mem","2",180,120,300,0.903,TRUE,0.984
"RE1-SS","OC-SVM","RE1-SS_catalogue_mem_2","catalogue","mem","2",180,120,300,0,FALSE,0.571
"RE1-SS","PCA","RE1-SS_catalogue_mem_3","catalogue","mem","3",180,120,300,0.983,TRUE,0.999
"RE1-SS","Isolation Forest","RE1-SS_catalogue_mem_3","catalogue","mem","3",180,120,300,0.657,TRUE,0.968
"RE1-SS","OC-SVM","RE1-SS_catalogue_mem_3","catalogue","mem","3",180,120,300,0,FALSE,0.708
"RE1-SS","PCA","RE1-SS_catalogue_mem_4","catalogue","mem","4",180,120,300,0.97,TRUE,0.995
"RE1-SS","Isolation Forest","RE1-SS_catalogue_mem_4","catalogue","mem","4",180,120,300,0.77,TRUE,0.957
"RE1-SS","OC-SVM","RE1-SS_catalogue_mem_4","catalogue","mem","4",180,120,300,0,FALSE,0.742
"RE1-SS","PCA","RE1-SS_catalogue_mem_5","catalogue","mem","5",180,120,300,0.99,TRUE,0.995
"RE1-SS","Isolation Forest","RE1-SS_catalogue_mem_5","catalogue","mem","5",180,120,300,0.563,TRUE,0.961
"RE1-SS","OC-SVM","RE1-SS_catalogue_mem_5","catalogue","mem","5",180,120,300,0,FALSE,0.537
"RE1-SS","PCA","RE1-SS_orders_cpu_1","orders","cpu","1",180,120,300,0,FALSE,0.656
"RE1-SS","Isolation Forest","RE1-SS_orders_cpu_1","orders","cpu","1",180,120,300,0.22,TRUE,0.865
"RE1-SS","OC-SVM","RE1-SS_orders_cpu_1","orders","cpu","1",180,120,300,0,FALSE,0.771
"RE1-SS","PCA","RE1-SS_orders_cpu_2","orders","cpu","2",180,120,300,0.05,FALSE,0.651
"RE1-SS","Isolation Forest","RE1-SS_orders_cpu_2","orders","cpu","2",180,120,300,0.253,TRUE,0.898
"RE1-SS","OC-SVM","RE1-SS_orders_cpu_2","orders","cpu","2",180,120,300,0,FALSE,0.775
"RE1-SS","PCA","RE1-SS_orders_cpu_3","orders","cpu","3",180,120,300,1,TRUE,1
"RE1-SS","Isolation Forest","RE1-SS_orders_cpu_3","orders","cpu","3",180,120,300,0.703,TRUE,0.944
"RE1-SS","OC-SVM","RE1-SS_orders_cpu_3","orders","cpu","3",180,120,300,0,FALSE,0.542
"RE1-SS","PCA","RE1-SS_orders_cpu_4","orders","cpu","4",180,120,300,0,FALSE,0.616
"RE1-SS","Isolation Forest","RE1-SS_orders_cpu_4","orders","cpu","4",180,120,300,0.087,FALSE,0.747
"RE1-SS","OC-SVM","RE1-SS_orders_cpu_4","orders","cpu","4",180,120,300,0,FALSE,0.745
"RE1-SS","PCA","RE1-SS_orders_cpu_5","orders","cpu","5",180,120,300,1,TRUE,1
"RE1-SS","Isolation Forest","RE1-SS_orders_cpu_5","orders","cpu","5",180,120,300,0.087,FALSE,0.802
"RE1-SS","OC-SVM","RE1-SS_orders_cpu_5","orders","cpu","5",180,120,300,0,FALSE,0.512
"RE1-SS","PCA","RE1-SS_orders_delay_1","orders","delay","1",180,120,300,0.963,TRUE,0.999
"RE1-SS","Isolation Forest","RE1-SS_orders_delay_1","orders","delay","1",180,120,300,0.793,TRUE,0.987
"RE1-SS","OC-SVM","RE1-SS_orders_delay_1","orders","delay","1",180,120,300,0,FALSE,0.608
"RE1-SS","PCA","RE1-SS_orders_delay_2","orders","delay","2",180,120,300,0.953,TRUE,0.978
"RE1-SS","Isolation Forest","RE1-SS_orders_delay_2","orders","delay","2",180,120,300,0.527,TRUE,0.933
"RE1-SS","OC-SVM","RE1-SS_orders_delay_2","orders","delay","2",180,120,300,0,FALSE,0.663
"RE1-SS","PCA","RE1-SS_orders_delay_3","orders","delay","3",180,120,300,1,TRUE,1
"RE1-SS","Isolation Forest","RE1-SS_orders_delay_3","orders","delay","3",180,120,300,0.41,TRUE,0.97
"RE1-SS","OC-SVM","RE1-SS_orders_delay_3","orders","delay","3",180,120,300,1,TRUE,1
"RE1-SS","PCA","RE1-SS_orders_delay_4","orders","delay","4",180,120,300,1,TRUE,1
"RE1-SS","Isolation Forest","RE1-SS_orders_delay_4","orders","delay","4",180,120,300,0.957,TRUE,0.987
